,district,confirmed,recovered,tested,vaccinated1,vaccinated2,state,deceased
0,Nicobars,0.0,0.0,0.0,0.0,0.0,AN,0.0
1,North and Middle Andaman,0.0,0.0,0.0,0.0,8.0,AN,0.0
2,South Andaman,0.0,0.0,0.0,3.0,28.0,AN,0.0
4,Anantapur,4.0,5.0,0.0,4575.0,5370.0,AP,0.0
5,Chittoor,64.0,87.0,0.0,878.0,1306.0,AP,1.0
6,East Godavari,87.0,121.0,0.0,41.0,237.0,AP,0.0
7,Foreign Evacuees,0.0,0.0,0.0,0.0,0.0,AP,0.0
8,Guntur,33.0,198.0,0.0,1119.0,1248.0,AP,0.0
9,Krishna,46.0,71.0,0.0,51.0,337.0,AP,1.0
10,Kurnool,6.0,3.0,0.0,4716.0,1538.0,AP,0.0
11,Other State,0.0,0.0,0.0,0.0,0.0,WB,0.0
12,Prakasam,6.0,37.0,0.0,3292.0,5872.0,AP,0.0
13,S.P.S. Nellore,34.0,23.0,0.0,2724.0,1639.0,AP,1.0
14,Srikakulam,19.0,20.0,0.0,2.0,6.0,AP,0.0
15,Visakhapatnam,27.0,30.0,0.0,1309.0,2311.0,AP,0.0
16,Vizianagaram,7.0,11.0,0.0,601.0,1855.0,AP,1.0
17,West Godavari,40.0,44.0,0.0,878.0,1884.0,AP,0.0
18,Y.S.R. Kadapa,12.0,25.0,0.0,1005.0,1101.0,AP,0.0
19,Anjaw,0.0,0.0,0.0,0.0,0.0,AR,0.0
20,Capital Complex,0.0,0.0,0.0,0.0,0.0,AR,0.0
21,Changlang,0.0,1.0,0.0,0.0,0.0,AR,0.0
22,East Kameng,0.0,0.0,0.0,0.0,1.0,AR,0.0
23,East Siang,0.0,5.0,0.0,0.0,0.0,AR,0.0
24,Kamle,0.0,0.0,0.0,0.0,0.0,AR,0.0
25,Kra Daadi,0.0,0.0,0.0,0.0,0.0,AR,0.0
26,Kurung Kumey,0.0,0.0,0.0,0.0,0.0,AR,0.0
27,Lepa Rada,0.0,0.0,0.0,6.0,54.0,AR,0.0
28,Lohit,0.0,0.0,0.0,0.0,0.0,AR,0.0
29,Longding,0.0,0.0,0.0,0.0,0.0,AR,0.0
30,Lower Dibang Valley,0.0,0.0,0.0,19.0,1.0,AR,0.0
31,Lower Siang,0.0,0.0,0.0,0.0,0.0,AR,0.0
32,Lower Subansiri,0.0,0.0,0.0,2.0,36.0,AR,0.0
33,Namsai,0.0,0.0,0.0,0.0,0.0,AR,0.0
34,Pakke Kessang,0.0,0.0,0.0,0.0,14.0,AR,0.0
35,Papum Pare,1.0,1.0,0.0,0.0,0.0,AR,0.0
36,Shi Yomi,0.0,0.0,0.0,0.0,0.0,AR,0.0
37,Siang,0.0,0.0,0.0,0.0,0.0,AR,0.0
38,Tawang,0.0,0.0,0.0,0.0,0.0,AR,0.0
39,Tirap,0.0,0.0,0.0,0.0,0.0,AR,0.0
40,Upper Dibang Valley,0.0,0.0,0.0,0.0,0.0,AR,0.0
41,Upper Siang,0.0,0.0,0.0,0.0,0.0,AR,0.0
42,Upper Subansiri,0.0,0.0,0.0,0.0,0.0,AR,0.0
43,West Kameng,0.0,7.0,0.0,15.0,89.0,AR,0.0
44,West Siang,0.0,-5.0,0.0,0.0,0.0,AR,0.0
45,Baksa,0.0,0.0,0.0,39.0,172.0,AS,0.0
46,Barpeta,0.0,0.0,0.0,369.0,1035.0,AS,0.0
47,Biswanath,0.0,0.0,0.0,507.0,1655.0,AS,0.0
48,Bongaigaon,0.0,0.0,0.0,85.0,1287.0,AS,0.0
49,Cachar,0.0,0.0,0.0,2149.0,966.0,AS,0.0
50,Charaideo,0.0,0.0,0.0,3.0,26.0,AS,0.0
51,Chirang,0.0,0.0,0.0,22.0,89.0,AS,0.0
52,Darrang,0.0,0.0,0.0,365.0,270.0,AS,0.0
53,Dhemaji,0.0,0.0,0.0,55.0,47.0,AS,0.0
54,Dhubri,0.0,0.0,0.0,1042.0,1906.0,AS,0.0
55,Dibrugarh,0.0,0.0,0.0,699.0,4007.0,AS,0.0
56,Dima Hasao,0.0,0.0,0.0,160.0,59.0,AS,0.0
57,Goalpara,0.0,0.0,0.0,47.0,81.0,AS,0.0
58,Golaghat,0.0,0.0,0.0,504.0,2676.0,AS,0.0
59,Hailakandi,0.0,0.0,0.0,88.0,705.0,AS,0.0
60,Hojai,0.0,0.0,0.0,512.0,2979.0,AS,0.0
