,district,vaccinated1,vaccinated2,state,confirmed,deceased,recovered,tested
0,Nicobars,62.0,811.0,AN,0.0,0.0,0.0,0.0
1,North and Middle Andaman,90.0,1839.0,AN,0.0,0.0,0.0,0.0
2,South Andaman,732.0,8012.0,AN,0.0,0.0,0.0,0.0
4,Anantapur,92803.0,140903.0,AP,38.0,0.0,58.0,0.0
5,Chittoor,63824.0,119541.0,AP,516.0,6.0,629.0,0.0
6,East Godavari,36973.0,223236.0,AP,604.0,0.0,520.0,0.0
7,Foreign Evacuees,0.0,0.0,AP,0.0,0.0,0.0,0.0
8,Guntur,285377.0,156818.0,AP,272.0,4.0,619.0,0.0
9,Krishna,75352.0,230788.0,AP,422.0,9.0,467.0,0.0
10,Kurnool,178620.0,73119.0,AP,25.0,0.0,26.0,0.0
11,Other State,0.0,0.0,WB,0.0,0.0,0.0,0.0
12,Prakasam,137338.0,130213.0,AP,103.0,3.0,290.0,0.0
13,S.P.S. Nellore,96973.0,114393.0,AP,155.0,2.0,235.0,0.0
14,Srikakulam,18883.0,129575.0,AP,132.0,0.0,72.0,0.0
15,Visakhapatnam,65301.0,207340.0,AP,237.0,1.0,227.0,0.0
16,Vizianagaram,44847.0,123576.0,AP,53.0,1.0,38.0,0.0
17,West Godavari,61021.0,146562.0,AP,234.0,4.0,246.0,0.0
18,Y.S.R. Kadapa,65843.0,90958.0,AP,82.0,0.0,163.0,0.0
19,Anjaw,45.0,452.0,AR,0.0,0.0,0.0,0.0
20,Capital Complex,0.0,0.0,AR,0.0,0.0,0.0,0.0
21,Changlang,298.0,3803.0,AR,3.0,0.0,3.0,0.0
22,East Kameng,76.0,409.0,AR,0.0,0.0,0.0,0.0
23,East Siang,365.0,2013.0,AR,9.0,0.0,10.0,0.0
24,Kamle,36.0,185.0,AR,0.0,0.0,0.0,0.0
25,Kra Daadi,5.0,23.0,AR,0.0,0.0,0.0,0.0
26,Kurung Kumey,27.0,255.0,AR,0.0,0.0,0.0,0.0
27,Lepa Rada,40.0,307.0,AR,0.0,0.0,1.0,0.0
28,Lohit,221.0,1494.0,AR,9.0,0.0,3.0,0.0
29,Longding,46.0,356.0,AR,1.0,0.0,0.0,0.0
30,Lower Dibang Valley,171.0,931.0,AR,14.0,0.0,3.0,0.0
31,Lower Siang,37.0,317.0,AR,0.0,0.0,0.0,0.0
32,Lower Subansiri,85.0,767.0,AR,5.0,0.0,2.0,0.0
33,Namsai,209.0,2436.0,AR,4.0,0.0,16.0,0.0
34,Pakke Kessang,25.0,262.0,AR,0.0,0.0,0.0,0.0
35,Papum Pare,1055.0,3799.0,AR,7.0,0.0,12.0,0.0
36,Shi Yomi,2.0,153.0,AR,1.0,0.0,10.0,0.0
37,Siang,40.0,197.0,AR,0.0,0.0,0.0,0.0
38,Tawang,91.0,759.0,AR,12.0,0.0,8.0,0.0
39,Tirap,35.0,631.0,AR,0.0,0.0,2.0,0.0
40,Upper Dibang Valley,3.0,11.0,AR,0.0,0.0,1.0,0.0
41,Upper Siang,38.0,411.0,AR,0.0,0.0,2.0,0.0
42,Upper Subansiri,93.0,1122.0,AR,0.0,0.0,0.0,0.0
43,West Kameng,206.0,1914.0,AR,1.0,0.0,21.0,0.0
44,West Siang,63.0,640.0,AR,0.0,0.0,3.0,0.0
45,Baksa,2992.0,15169.0,AS,0.0,0.0,0.0,0.0
46,Barpeta,10495.0,48544.0,AS,0.0,0.0,0.0,0.0
47,Biswanath,5661.0,35727.0,AS,0.0,0.0,0.0,0.0
48,Bongaigaon,2784.0,18356.0,AS,0.0,0.0,0.0,0.0
49,Cachar,26826.0,21591.0,AS,0.0,0.0,0.0,0.0
50,Charaideo,1853.0,16868.0,AS,0.0,0.0,0.0,0.0
51,Chirang,2488.0,9573.0,AS,0.0,0.0,0.0,0.0
52,Darrang,17453.0,21800.0,AS,0.0,0.0,0.0,0.0
53,Dhemaji,3423.0,15318.0,AS,0.0,0.0,0.0,0.0
54,Dhubri,12450.0,25644.0,AS,0.0,0.0,0.0,0.0
55,Dibrugarh,8869.0,38695.0,AS,0.0,0.0,0.0,0.0
56,Dima Hasao,2532.0,3737.0,AS,0.0,0.0,0.0,0.0
57,Goalpara,4013.0,30725.0,AS,0.0,0.0,0.0,0.0
58,Golaghat,6525.0,51417.0,AS,0.0,0.0,0.0,0.0
59,Hailakandi,1724.0,11247.0,AS,0.0,0.0,0.0,0.0
60,Hojai,6217.0,36724.0,AS,0.0,0.0,0.0,0.0
61,Jorhat,3383.0,39677.0,AS,0.0,0.0,0.0,0.0
62,Kamrup,10451.0,45828.0,AS,0.0,0.0,0.0,0.0
63,Kamrup Metropolitan,6625.0,38155.0,AS,0.0,0.0,0.0,0.0
64,Karbi Anglong,13744.0,12778.0,AS,0.0,0.0,0.0,0.0
65,Karimganj,5088.0,20659.0,AS,0.0,0.0,0.0,0.0
66,Kokrajhar,3935.0,19711.0,AS,0.0,0.0,0.0,0.0
67,Lakhimpur,5870.0,42164.0,AS,0.0,0.0,0.0,0.0
68,Majuli,1524.0,7176.0,AS,0.0,0.0,0.0,0.0
69,Morigaon,5298.0,27861.0,AS,0.0,0.0,0.0,0.0
70,Nagaon,16396.0,36734.0,AS,0.0,0.0,0.0,0.0
71,Nalbari,6785.0,25411.0,AS,0.0,0.0,0.0,0.0
72,Sivasagar,1946.0,23104.0,AS,0.0,0.0,0.0,0.0
73,Sonitpur,8341.0,48290.0,AS,0.0,0.0,0.0,0.0
74,South Salmara Mankachar,1978.0,15304.0,AS,0.0,0.0,0.0,0.0
75,Tinsukia,45002.0,22410.0,AS,0.0,0.0,0.0,0.0
76,Udalguri,17371.0,19343.0,AS,0.0,0.0,0.0,0.0
77,West Karbi Anglong,4593.0,4186.0,AS,0.0,0.0,0.0,0.0
78,Araria,51331.0,69085.0,BR,2.0,0.0,0.0,0.0
79,Arwal,4059.0,17125.0,BR,0.0,0.0,0.0,0.0
80,Aurangabad,46323.0,34109.0,MH,156.0,1.0,157.0,0.0
81,Banka,24239.0,34077.0,BR,0.0,0.0,0.0,0.0
82,Begusarai,33903.0,65735.0,BR,2.0,0.0,7.0,0.0
83,Bhagalpur,49875.0,78088.0,BR,1.0,0.0,1.0,0.0
84,Bhojpur,31626.0,53006.0,BR,0.0,0.0,0.0,0.0
85,Buxar,14794.0,38792.0,BR,0.0,0.0,0.0,0.0
86,Darbhanga,39165.0,82276.0,BR,0.0,0.0,1.0,0.0
87,East Champaran,29316.0,84760.0,BR,2.0,0.0,0.0,0.0
88,Gaya,72504.0,82490.0,BR,0.0,0.0,1.0,0.0
89,Gopalganj,31750.0,70093.0,BR,0.0,0.0,1.0,0.0
90,Jamui,24440.0,24005.0,BR,0.0,0.0,1.0,0.0
91,Jehanabad,12986.0,27200.0,BR,0.0,0.0,0.0,0.0
92,Kaimur,19996.0,28681.0,BR,0.0,0.0,0.0,0.0
93,Katihar,53448.0,75733.0,BR,0.0,0.0,1.0,0.0
94,Khagaria,15402.0,32372.0,BR,0.0,0.0,0.0,0.0
95,Kishanganj,24597.0,25592.0,BR,4.0,0.0,2.0,0.0
96,Lakhisarai,8894.0,16437.0,BR,0.0,0.0,0.0,0.0
97,Madhepura,28832.0,43563.0,BR,1.0,0.0,0.0,0.0
98,Madhubani,28535.0,69785.0,BR,3.0,0.0,0.0,0.0
99,Munger,7445.0,33005.0,BR,0.0,0.0,1.0,0.0
100,Muzaffarpur,40686.0,80513.0,BR,0.0,0.0,1.0,0.0
101,Nalanda,36716.0,66091.0,BR,0.0,0.0,0.0,0.0
102,Nawada,46619.0,35295.0,BR,1.0,0.0,0.0,0.0
103,Patna,35436.0,159875.0,BR,14.0,0.0,8.0,0.0
104,Purnia,61212.0,74531.0,BR,0.0,0.0,0.0,0.0
105,Rohtas,40918.0,59698.0,BR,2.0,0.0,0.0,0.0
106,Saharsa,106392.0,80718.0,BR,0.0,0.0,0.0,0.0
107,Samastipur,48167.0,64119.0,BR,2.0,0.0,2.0,0.0
108,Saran,41734.0,82407.0,BR,5.0,0.0,2.0,0.0
109,Sheikhpura,4942.0,10739.0,BR,0.0,0.0,0.0,0.0
110,Sheohar,2946.0,7111.0,BR,0.0,0.0,2.0,0.0
111,Sitamarhi,43474.0,60677.0,BR,0.0,0.0,0.0,0.0
112,Siwan,18385.0,69069.0,BR,0.0,0.0,0.0,0.0
