,district,vaccinated1,vaccinated2,state,confirmed,deceased,recovered,tested
0,Nicobars,25394.0,20313.0,AN,0.0,0.0,0.0,0.0
1,North and Middle Andaman,78945.0,59522.0,AN,0.0,0.0,0.0,0.0
2,South Andaman,189662.0,120322.0,AN,0.0,0.0,0.0,0.0
4,Anantapur,2690082.0,1611476.0,AP,157843.0,1093.0,156699.0,787085.0
5,Chittoor,2832987.0,1807873.0,AP,246935.0,1947.0,244144.0,780322.0
6,East Godavari,3532220.0,1990578.0,AP,293836.0,1290.0,291610.0,944746.0
7,Foreign Evacuees,0.0,0.0,AP,434.0,0.0,434.0,0.0
8,Guntur,3440118.0,1891773.0,AP,178068.0,1237.0,176629.0,833823.0
9,Krishna,2971604.0,1914927.0,AP,119348.0,1430.0,117130.0,782232.0
10,Kurnool,2672759.0,1290419.0,AP,124142.0,853.0,123264.0,867361.0
11,Other State,0.0,0.0,WB,66.0,3.0,63.0,0.0
12,Prakasam,2321031.0,1521177.0,AP,138482.0,1124.0,136989.0,697340.0
13,S.P.S. Nellore,2143402.0,1403240.0,AP,146388.0,1053.0,144919.0,682964.0
14,Srikakulam,1630248.0,974734.0,AP,123109.0,786.0,122136.0,670899.0
15,Visakhapatnam,2999432.0,1864960.0,AP,157737.0,1127.0,156492.0,744983.0
16,Vizianagaram,1393491.0,996097.0,AP,82967.0,672.0,82231.0,531433.0
17,West Godavari,2525317.0,1778807.0,AP,179077.0,1117.0,177680.0,793098.0
18,Y.S.R. Kadapa,1824032.0,1328711.0,AP,115623.0,644.0,114904.0,671761.0
19,Anjaw,11695.0,7957.0,AR,1068.0,3.0,1065.0,2845.0
20,Capital Complex,0.0,0.0,AR,0.0,0.0,0.0,115210.0
21,Changlang,88857.0,55361.0,AR,3807.0,22.0,3780.0,23861.0
22,East Kameng,22931.0,15646.0,AR,1094.0,0.0,1094.0,7489.0
23,East Siang,54001.0,39434.0,AR,3206.0,17.0,3183.0,21867.0
24,Kamle,6946.0,3874.0,AR,512.0,0.0,512.0,1385.0
25,Kra Daadi,6275.0,3272.0,AR,270.0,0.0,270.0,3218.0
26,Kurung Kumey,9121.0,5601.0,AR,511.0,1.0,510.0,4201.0
27,Lepa Rada,13328.0,10176.0,AR,874.0,3.0,871.0,6747.0
28,Lohit,31120.0,22003.0,AR,2885.0,26.0,2851.0,14945.0
29,Longding,19259.0,7826.0,AR,752.0,2.0,749.0,10342.0
30,Lower Dibang Valley,32639.0,22089.0,AR,2426.0,11.0,2397.0,12169.0
31,Lower Siang,16565.0,9990.0,AR,738.0,8.0,730.0,7070.0
